source_file,event_timestamp,calib_horizontal_ratio,calib_vertical_ratio,calib_head_neutral_yaw,calib_head_neutral_pitch,t_gaze_outside_frames,f_gaze_exits,NR_gaze_reversals,NH_head_suspicious,label
behavior_log1.json,2025-05-21 18:35:56,,,,,0,0,1,0,1
behavior_log1.json,2025-05-21 18:35:57,,,,,1,1,2,0,1
behavior_log1.json,2025-05-21 18:36:02,,,,,12,4,7,0,1
behavior_log1.json,2025-05-21 18:36:07,,,,,12,5,15,0,1
behavior_log1.json,2025-05-21 18:36:09,,,,,7,3,7,0,1
behavior_log1.json,2025-05-21 18:36:11,,,,,2,2,4,0,1
behavior_log1.json,2025-05-21 18:36:14,,,,,7,2,7,0,1
behavior_log1.json,2025-05-21 18:36:24,,,,,8,3,8,0,1
behavior_log1.json,2025-05-21 18:36:27,,,,,15,4,8,0,1
behavior_log1.json,2025-05-21 18:36:33,,,,,3,1,3,0,1
behavior_log1.json,2025-05-21 18:36:34,,,,,13,1,1,0,1
behavior_log1.json,2025-05-21 18:36:44,,,,,10,5,12,0,1
behavior_log1.json,2025-05-21 18:36:46,,,,,6,6,13,0,1
behavior_log1.json,2025-05-21 18:36:49,,,,,10,6,11,0,1
behavior_log1.json,2025-05-21 18:36:51,,,,,17,3,6,0,1
behavior_log1.json,2025-05-21 18:36:56,,,,,14,5,9,0,1
behavior_log1.json,2025-05-21 18:37:06,,,,,13,3,7,0,1
behavior_log1.json,2025-05-21 18:37:13,,,,,12,3,7,0,1
behavior_log1.json,2025-05-21 18:37:15,,,,,11,4,8,0,1
behavior_log1.json,2025-05-21 18:37:17,,,,,7,5,10,0,1
behavior_log1.json,2025-05-21 18:37:25,,,,,6,4,8,0,1
behavior_log1.json,2025-05-21 18:37:30,,,,,9,2,3,0,1
behavior_log1.json,2025-05-21 18:37:33,,,,,18,2,3,0,1
behavior_log1.json,2025-05-21 18:37:37,,,,,11,5,10,0,0
behavior_log1.json,2025-05-21 18:40:50,,,,,15,5,8,0,0
behavior_log1.json,2025-05-21 18:41:11,,,,,14,4,8,0,0
behavior_log1.json,2025-05-21 18:41:14,,,,,14,4,8,0,0
behavior_log1.json,2025-05-21 18:41:22,,,,,14,4,8,0,0
behavior_log1.json,2025-05-21 18:41:25,,,,,14,4,8,0,0
behavior_log1.json,2025-05-21 18:41:29,,,,,14,4,8,0,0
behavior_log1.json,2025-05-21 18:41:33,,,,,14,4,8,0,0
behavior_log1.json,2025-05-21 18:41:37,,,,,14,4,8,0,0
behavior_log1.json,2025-05-21 18:41:38,,,,,14,4,8,0,0
behavior_log1.json,2025-05-21 18:41:45,,,,,14,4,8,0,0
behavior_log1.json,2025-05-21 18:41:49,,,,,14,4,8,0,0
behavior_log1.json,2025-05-21 18:41:53,,,,,14,4,8,0,0
behavior_log1.json,2025-05-21 18:41:54,,,,,13,4,8,0,0
behavior_log1.json,2025-05-21 18:42:18,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:22,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:26,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:27,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:32,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:34,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:39,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:45,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:46,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:47,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:49,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:56,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:42:59,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:43:11,,,,,15,5,9,0,0
behavior_log1.json,2025-05-21 18:43:14,,,,,13,4,7,0,0
behavior_log1.json,2025-05-21 18:43:17,,,,,17,3,6,0,0
behavior_log1.json,2025-05-21 18:43:22,,,,,14,5,9,0,0
behavior_log1.json,2025-05-21 18:43:26,,,,,16,4,6,0,0
behavior_log1.json,2025-05-21 18:46:36,,,,,5,3,6,0,1
behavior_log1.json,2025-05-21 18:46:38,,,,,12,4,6,0,1
behavior_log1.json,2025-05-21 18:46:55,,,,,10,5,13,0,1
behavior_log1.json,2025-05-21 18:46:57,,,,,11,4,9,0,1
behavior_log1.json,2025-05-21 18:47:00,,,,,12,4,7,0,1
behavior_log1.json,2025-05-21 18:47:04,,,,,12,4,8,0,0
behavior_log1.json,2025-05-21 18:47:05,,,,,12,4,8,0,0
behavior_log1.json,2025-05-21 18:47:07,,,,,12,4,8,0,0
behavior_log1.json,2025-05-21 18:47:08,,,,,12,4,8,0,0
behavior_log1.json,2025-05-21 18:47:09,,,,,12,4,8,0,0
behavior_log1.json,2025-05-21 18:47:11,,,,,12,4,8,0,0
behavior_log1.json,2025-05-21 18:47:12,,,,,12,4,8,0,0
