source_file,event_timestamp,calib_horizontal_ratio,calib_vertical_ratio,calib_head_neutral_yaw,calib_head_neutral_pitch,window_start,window_end,window_size,gaze_horizontal_deviation_mean,gaze_horizontal_deviation_std,gaze_horizontal_deviation_min,gaze_horizontal_deviation_max,gaze_vertical_deviation_mean,gaze_vertical_deviation_std,gaze_vertical_deviation_min,gaze_vertical_deviation_max,gaze_total_deviation_mean,gaze_total_deviation_std,gaze_total_deviation_min,gaze_total_deviation_max,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_horizontal_ratio_min,gaze_horizontal_ratio_max,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,gaze_vertical_ratio_min,gaze_vertical_ratio_max,gaze_angle_from_real_center_mean,gaze_angle_from_real_center_std,gaze_angle_from_real_center_min,gaze_angle_from_real_center_max,gaze_angle_from_calibrated_center_mean,gaze_angle_from_calibrated_center_std,gaze_angle_from_calibrated_center_min,gaze_angle_from_calibrated_center_max,head_yaw_deviation_mean,head_yaw_deviation_std,head_yaw_deviation_min,head_yaw_deviation_max,head_pitch_deviation_mean,head_pitch_deviation_std,head_pitch_deviation_min,head_pitch_deviation_max,head_is_suspicious_mean,head_is_suspicious_std,head_is_suspicious_min,head_is_suspicious_max,label
behavior_log1.json,2025-05-21 18:07:27,,,,,2025-05-21 18:07:27,2025-05-21 18:09:12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 18:09:14,,,,,2025-05-21 18:09:14,2025-05-21 18:09:46,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 18:09:47,,,,,2025-05-21 18:09:47,2025-05-21 18:12:16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 18:17:29,,,,,2025-05-21 18:17:29,2025-05-21 18:17:46,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:17:48,,,,,2025-05-21 18:17:48,2025-05-21 18:18:05,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:18:07,,,,,2025-05-21 18:18:07,2025-05-21 18:31:52,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:32:02,,,,,2025-05-21 18:32:02,2025-05-21 18:34:45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:34:46,,,,,2025-05-21 18:34:46,2025-05-21 18:35:07,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:35:12,,,,,2025-05-21 18:35:12,2025-05-21 18:36:07,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 18:36:09,,,,,2025-05-21 18:36:09,2025-05-21 18:36:49,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 18:36:51,,,,,2025-05-21 18:36:51,2025-05-21 18:37:37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 18:40:50,,,,,2025-05-21 18:40:50,2025-05-21 18:41:45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:41:49,,,,,2025-05-21 18:41:49,2025-05-21 18:42:39,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:42:45,,,,,2025-05-21 18:42:45,2025-05-21 18:43:22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:43:26,,,,,2025-05-21 18:43:26,2025-05-21 18:47:08,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 18:47:09,,,,,2025-05-21 18:47:09,2025-05-21 18:47:26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:47:30,,,,,2025-05-21 18:47:30,2025-05-21 18:48:09,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 18:48:17,,,,,2025-05-21 18:48:17,2025-05-21 19:01:48,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 19:02:45,,,,,2025-05-21 19:02:45,2025-05-21 19:03:07,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 19:03:09,,,,,2025-05-21 19:03:09,2025-05-21 19:03:22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 19:03:23,,,,,2025-05-21 19:03:23,2025-05-21 19:03:53,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 19:03:56,,,,,2025-05-21 19:03:56,2025-05-21 19:04:18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 19:04:19,,,,,2025-05-21 19:04:19,2025-05-21 19:04:41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 19:04:43,,,,,2025-05-21 19:04:43,2025-05-21 19:05:25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 19:05:27,,,,,2025-05-21 19:05:27,2025-05-21 19:05:42,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 19:05:43,,,,,2025-05-21 19:05:43,2025-05-21 19:05:56,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 19:05:57,,,,,2025-05-21 19:05:57,2025-05-22 16:21:19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-22 16:21:22,,,,,2025-05-22 16:21:22,2025-05-22 16:22:17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-22 16:22:19,,,,,2025-05-22 16:22:19,2025-05-22 16:23:48,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-22 16:23:50,,,,,2025-05-22 16:23:50,2025-05-22 16:24:18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-22 16:24:21,,,,,2025-05-22 16:24:21,2025-05-22 16:33:28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-22 16:33:36,,,,,2025-05-22 16:33:36,2025-05-22 16:34:55,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-22 16:34:58,,,,,2025-05-22 16:34:58,2025-05-22 16:37:39,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-22 16:37:50,,,,,2025-05-22 16:37:50,2025-05-22 16:45:43,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-22 16:46:07,,,,,2025-05-22 16:46:07,2025-05-22 16:48:03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-22 16:48:08,,,,,2025-05-22 16:48:08,2025-05-22 16:54:24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-22 16:54:27,,,,,2025-05-22 16:54:27,2025-05-22 17:02:12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-22 17:02:14,,,,,2025-05-22 17:02:14,2025-05-22 17:08:51,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-22 17:08:54,,,,,2025-05-22 17:08:54,2025-05-22 17:18:00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-22 17:51:37,,,,,2025-05-22 17:51:37,2025-05-22 17:53:42,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-22 17:53:46,,,,,2025-05-22 17:53:46,2025-05-22 17:56:07,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-22 17:56:11,,,,,2025-05-22 17:56:11,2025-12-23 09:41:27,10,0.008615,0.027263,-0.05055171484305088,0.07600889840518099,-0.260957,0.055861,-0.3898649190315858,-0.09462682379349052,0.262571,0.055615,0.09637318964974545,0.39231210860422394,0.589497,0.027263,0.5303308823529411,0.656891495601173,0.706686,0.055861,0.5777777777777777,0.873015873015873,65.37716,10.322115,31.966319440634937,80.60600904104896,-88.268615,6.616902,-100.08212719698923,-59.162522456372955,,,,,,,,,,,,,1
behavior_log2.json,2025-12-23 09:41:28,0.580882597195992,0.9676426968093635,,,2025-12-23 09:41:28,2025-12-23 09:42:07,10,0.050321,0.058528,-0.1330647603838478,0.3062398193381892,-0.285425,0.069939,-0.4291811583478251,0.10378587461920785,0.29755,0.061488,0.1302902036675859,0.43767039339636676,0.631204,0.058528,0.4478178368121442,0.8871224165341812,0.682217,0.069939,0.5384615384615384,1.0714285714285714,53.793673,14.477759,12.9946167919165,100.04975139713031,-79.035518,15.934699,-144.06651720081382,46.39798725707377,,,,,,,,,,,,,1
behavior_log2.json,2025-12-23 09:42:26,0.580882597195992,0.9676426968093635,,,2025-12-23 09:42:26,2025-12-23 09:43:08,10,0.021243,0.080935,-0.14591638097977577,0.348038971431459,-0.267873,0.084487,-0.42218815135481813,0.11569063652396994,0.285811,0.064865,0.10716261252079087,0.5176174636189852,0.602125,0.080935,0.43496621621621623,0.928921568627451,0.69977,0.084487,0.5454545454545454,1.0833333333333335,61.213736,20.402776,6.814807789910557,106.57380852268022,-81.266489,42.573805,-173.25320890970588,167.49684858429077,,,,,,,,,,,,,1
behavior_log2.json,2025-12-23 09:43:12,0.580882597195992,0.9676426968093635,,,2025-12-23 09:43:12,2025-12-23 09:44:09,10,0.009678,0.04984,-0.16287184450781994,0.15162932649240235,-0.300767,0.157311,-0.506104235270902,0.19902396985730297,0.3181,0.12883,0.0328452528521799,0.5076358640975283,0.590561,0.04984,0.41801075268817206,0.7325119236883944,0.666876,0.157311,0.46153846153846156,1.1666666666666665,50.105466,30.5201,-17.731636525858974,127.94314264969344,-71.353638,57.759744,-156.15206650808207,163.42971389489753,,,,,,,,,,,,,1
behavior_log2.json,2025-12-23 09:44:17,0.580882597195992,0.9676426968093635,,,2025-12-23 09:44:17,2025-12-23 09:44:53,10,-0.023083,0.092537,-0.17716638097977577,0.1815013037328006,-0.271136,0.090495,-0.48687346604013276,0.05378587461920781,0.290877,0.078678,0.07110431609651525,0.48897433966756326,0.557799,0.092537,0.40371621621621623,0.7623839009287926,0.696507,0.090495,0.4807692307692308,1.0214285714285714,72.70341,26.30925,-8.66690379500329,110.32854082103314,-96.700792,26.418961,-169.9278807457047,149.4321674113112,,,,,,,,,,,,,1
behavior_log2.json,2025-12-23 09:44:56,0.580882597195992,0.9676426968093635,,,2025-12-23 09:44:56,2025-12-23 09:45:34,10,-0.027785,0.092369,-0.15953817585157065,0.1815013037328006,-0.203715,0.079597,-0.39621412538079215,0.04823031906365227,0.229949,0.06529,0.07110431609651525,0.3982626202475669,0.553097,0.092369,0.42134442134442135,0.7623839009287926,0.763928,0.079597,0.5714285714285714,1.0158730158730158,77.26439,19.937493,30.37912601136833,106.25466019820517,-100.88114,29.256653,-172.23438852336548,19.891208317227186,,,,,,,,,,,,,1
behavior_log2.json,2025-12-23 09:45:34,0.580882597195992,0.9676426968093635,,,2025-12-23 09:45:34,2025-12-23 09:46:08,10,-0.024569,0.115628,-0.19718296349635833,0.19914743283403802,-0.157765,0.120971,-0.4382309321034812,0.10378587461920785,0.220556,0.069659,0.02779063935155002,0.44439666454242177,0.556314,0.115628,0.38369963369963367,0.78003003003003,0.809878,0.120971,0.5294117647058824,1.0714285714285714,76.994607,20.611068,37.11552080044258,105.49888672046018,-67.09628,88.973309,-178.2467456952214,170.13893499454116,,,,,,,,,,,,,1
behavior_log2.json,2025-12-23 09:48:02,0.6463503291089497,0.9976169590643275,,,2025-12-23 09:48:02,2025-12-23 09:49:35,10,-0.036598,0.035859,-0.155422909754111,0.047198057987824504,-0.357489,0.08591,-0.5200528565002249,0.35952589807852975,0.36625,0.060539,0.1743824265724165,0.5206600647738481,0.609753,0.035859,0.49092741935483875,0.6935483870967742,0.640128,0.08591,0.47756410256410253,1.3571428571428572,48.731719,17.285494,-10.486544949030282,93.37492510117485,-95.017023,16.609192,-132.67665107898875,91.34149417478707,,,,,,,,,,,,,0
